sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
41,2048,1.3598927715793252,0.23874691799283027,0.5768615912646056,0.42313840873539443,21,12,0.5714285714285714,2.8098131591454147,0.47402264215052126,100.0,100.68189659771264,0.9996802509134596,0.1076983782230626,1660.25316518137,1675.486929015723,True,True,,True,True,True,True,
42,2048,1.8266505170613527,0.06082590529695153,0.37022198401391504,0.629778015986085,20,9,0.45,4.287981740478426,0.5044486427679657,100.0,118.47764248842407,0.7465313460510998,0.0005504535843237002,2233.010312768478,2246.737769074246,True,True,,True,True,True,True,
43,2048,1.5253068758174777,0.19395925970748065,0.6152285423129797,0.38477145768702026,27,11,0.4074074074074074,3.1691273633390664,0.44958581347018484,100.0,103.8335366120283,0.9996667070875528,0.14458140912260464,1888.739711034355,1902.2573516838788,True,True,,True,True,True,True,
44,2048,1.0381499752402306,0.11000797189772128,0.43202593140304085,0.5679740685969592,14,9,0.6428571428571429,1.3505189082585274,0.578485893830657,100.0,95.37897111831018,0.8621351557931999,0.1186266495991612,855.4958615266171,866.9305139747694,True,True,,True,True,True,True,
45,2048,1.1596831222996116,0.18347745621576905,0.30745644196867944,0.6925435580313206,12,8,0.6666666666666666,2.350569458026439,0.4172795508056879,100.0,103.4706327532084,0.5138410227275714,0.01924574834180382,1758.6804115035566,1765.2474746849332,True,True,,True,True,True,True,
46,2048,1.6537827663123608,0.11812969297170639,0.5390961267054081,0.4609038732945919,28,9,0.32142857142857145,3.80617364924401,0.5602056467905641,100.0,109.12570135600077,0.9987705956902098,0.17823836925513473,1731.6425775354444,1744.3120772270968,True,True,,True,True,True,True,
47,2048,1.9481746004894376,0.28436865024268626,0.494211632758379,0.505788367241621,15,6,0.4,3.641255007963627,0.4936334969475865,100.0,116.92368719981192,0.963570333750452,0.012767921631158047,1919.5531835205763,1939.0411587610497,True,True,,True,True,True,True,
48,2048,1.4883596058934927,0.012844130862504244,0.6524141781032085,0.34758582189679155,25,13,0.52,1.7936366289854049,0.5350336726754904,100.0,101.88127976955974,0.9989076707732232,0.3512974902477029,1070.841870260048,1077.753541401356,True,True,,True,True,True,True,
49,2048,1.4675336424261332,0.292412814963609,0.3541567180305719,0.6458432819694281,14,5,0.35714285714285715,3.753921590745449,0.5677191136404872,100.0,110.54705888095862,0.8139119857000994,0.0040889332168105854,1756.1458092536805,1771.659156791447,True,True,,True,True,True,True,
51,2048,1.679369255900383,0.17782533019781113,0.44086310751736163,0.5591368924826383,18,10,0.5555555555555556,1.6414569390937686,0.5432915709912777,100.0,112.8033341215766,0.8948462611390336,0.05922944686065681,1008.2041540770875,1023.4277591551008,True,True,,True,True,True,True,
52,2048,1.1341183362528682,0.13111311877146362,0.6123483959585427,0.38765160404145727,22,11,0.5,3.4858473387546836,0.48469179030507803,100.0,93.1750733854127,0.99984381522481,0.20037833852951933,1933.96454524584,1945.2934426408112,True,True,,True,True,True,True,
53,2048,1.013448242098093,0.20469706691801548,0.5365089520812034,0.4634910479187966,23,9,0.391304347826087,4.135795903857797,0.523485261015594,100.0,91.39456639705378,0.9995409951130045,0.11500966010816498,2059.3152037467376,2074.2280048700504,True,True,,True,True,True,True,
54,2048,1.5500474339351058,0.1018813488073647,0.31658658385276794,0.6834134161472321,17,9,0.5294117647058824,2.6544115383177997,0.45391120910644533,100.0,113.95432444901263,0.5773833409019655,0.0028290172893573663,1756.3297121977057,1765.141791388655,True,True,,True,True,True,True,
55,2048,1.8483002316206694,0.2256810159422457,0.6747294396162032,0.32527056038379676,29,18,0.6206896551724138,1.298260407987982,0.5998302064836025,100.0,109.48371633199594,0.9954425295360179,0.46076977730286645,748.729566508234,753.1182892286442,True,True,,True,True,True,True,
56,2048,1.3382037105038762,0.0665420539677143,0.47824402600526805,0.521755973994732,11,4,0.36363636363636365,3.120098809339106,0.4287303304299712,100.0,103.03978754588786,0.8292581495591019,0.010533669123836823,2016.7660874079074,2031.5619580183031,True,True,,True,True,True,True,
57,2048,1.2888816092163324,0.16215679747983813,0.692225332558155,0.307774667441845,16,11,0.6875,3.319449477922171,0.5098440796136856,100.0,95.5644935682252,0.999805865485245,0.3965225055597636,1759.318575461111,1765.0199669838473,True,True,,True,True,True,True,
58,2048,1.774575569666922,0.13360807579010725,0.4605841010808944,0.5394158989191056,24,9,0.375,1.909305504709482,0.46843170206993817,100.0,114.31182054819595,0.8657507423974461,0.0008127031377040837,1294.834075810391,1311.7517998764351,True,True,,True,True,True,True,
59,2048,1.576893389225006,0.26766225043684244,0.5055189430713654,0.49448105692863464,12,6,0.5,2.0287638788111506,0.5854440635070205,100.0,108.33406453471395,0.9573633218645187,0.18556668272212123,1040.620492756336,1051.920065358487,True,True,,True,True,True,True,
60,2048,1.1096492735669017,0.03308325475081801,0.34731490463018416,0.6526850953698158,28,17,0.6071428571428571,3.9218424757942554,0.4424325220286846,100.0,100.50515205712509,0.6227921350608716,0.00015157922009945062,2447.735458181274,2457.7212593005,True,True,,True,True,True,True,
61,2048,1.2390931732952595,0.25952448304742576,0.4233557645231485,0.5766442354768515,27,14,0.5185185185185185,2.873090101405978,0.5532963007688523,100.0,101.96173042881605,0.9466602119932034,0.0008564527910759447,1456.8230809817328,1476.394701647565,True,True,,True,True,True,True,
62,2048,1.6974414205178618,0.043549011927098036,0.629996882751584,0.37000311724841595,13,6,0.46153846153846156,1.4403943388722835,0.4243840185925365,100.0,107.4593048034377,0.961511793367684,0.18034428980863582,1158.0213156797838,1169.141695909887,True,True,,True,True,True,True,
63,2048,1.9040275793522596,0.21012256583198904,0.38513527698814864,0.6148647230118514,21,7,0.3333333333333333,2.5137758480384944,0.5296870594844222,100.0,119.61567644429505,0.8177216060713169,0.0010410248554257367,1388.7877877127369,1404.6649228526467,True,True,,True,True,True,True,
64,2048,1.4094377430155873,0.08797033745795488,0.5683394405990838,0.4316605594009162,19,12,0.631578947368421,4.377857121918351,0.499175613373518,100.0,102.2441617336682,0.9999029323529564,0.13534220288417895,2226.892394217228,2241.1238330236783,True,True,,True,True,True,True,
65,2048,1.4217688478529453,0.15236934749409556,0.39394549280405045,0.6060545071959496,24,14,0.5833333333333334,3.0885985781438645,0.459117359854281,100.0,108.00220340229816,0.7275248850459841,0.0009553574087162255,1918.842948210007,1931.695765385615,True,True,,True,True,True,True,
66,2048,1.891719556413591,0.1433762988075614,0.5529307395219802,0.44706926047801976,16,8,0.5,1.2249235784634946,0.5130053270608187,100.0,113.93247059906724,0.9271563491571182,0.19767977945108126,893.1934873678181,903.5632866303765,True,True,,True,True,True,True,
67,2048,1.693884326145053,0.27684436608105895,0.4073122978210449,0.5926877021789552,28,10,0.35714285714285715,2.729259098600596,0.4331433456391096,100.0,114.24679828726937,0.7185342415219489,1.5560660802832504e-05,1817.4538944327417,1829.8893744181537,True,True,,True,True,True,True,
68,2048,1.2426276030018926,0.02388159027323127,0.6397348329424858,0.3602651670575142,12,8,0.6666666666666666,4.162361332029104,0.5885816471651196,100.0,95.66116943767048,0.9987616862589849,0.3887753518759671,1768.782096998597,1774.5654097420697,True,True,,True,True,True,True,
69,2048,1.1219499055296183,0.24982845615595578,0.5153606060892343,0.4846393939107657,13,8,0.6153846153846154,3.5607013346627356,0.4023743519559503,100.0,95.56249022480517,0.8525066947554857,0.014615882393791272,2348.175332098509,2362.874102742128,True,True,,True,True,True,True,
70,2048,1.564554893411696,0.05326215578243136,0.3313752461224794,0.6686247538775205,27,9,0.3333333333333333,1.6680158332921564,0.5687622237950564,100.0,113.78655356459137,0.7665353075249278,0.001438105569330102,986.9425600251745,1001.212054808912,True,True,,True,True,True,True,
71,2048,1.7710490077733994,0.2192499062977731,0.6771157521754503,0.3228842478245497,19,8,0.42105263157894735,2.2700410600751635,0.47719113640487193,100.0,107.76779600336192,0.9958044649257874,0.3279616313899735,1395.5015430717824,1403.0192660523555,True,True,,True,True,True,True,
72,2048,1.2924465714022517,0.07886036429554223,0.46969334222376347,0.5303066577762365,21,11,0.5238095238095238,3.6805779322050514,0.5451293425634504,100.0,102.03035970540367,0.999536032600869,0.0275592340804106,1769.004951458538,1788.6480279823227,True,True,,True,True,True,True,
