sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
949,2048,1.0007145898416638,0.28291884809732437,0.5012718338519334,0.4987281661480666,17,5,0.29411764705882354,3.676020006649196,0.5014781136065721,100.0,91.98806374671335,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1013,2048,1.021487078629434,0.1911045338027179,0.47891517058014865,0.5210848294198513,28,19,0.6785714285714286,2.9219093469902875,0.4944785427302122,100.0,93.3683691265527,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1021,2048,1.233463323675096,0.24467612402513622,0.5674701120704413,0.4325298879295587,22,8,0.36363636363636365,4.189101364184171,0.4272254602983594,100.0,97.41576864891067,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1117,2048,1.2066663969308138,0.20668914467096328,0.44564771167933936,0.5543522883206606,28,14,0.5,4.304371947236359,0.5482362484559417,100.0,100.29136639603809,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1130,2048,1.8376472471281886,0.06426008390262723,0.540395763516426,0.45960423648357396,24,11,0.4583333333333333,2.321659000497311,0.4579066980630159,100.0,113.17369775836033,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1232,2048,1.461615676060319,0.02251862660050392,0.5101843278855085,0.4898156721144915,23,9,0.391304347826087,4.096829720400273,0.4882639229297638,100.0,105.3281571335803,0.9968362608180468,0.0005352687099734907,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000380454852955988 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
1313,2048,1.3873083852231503,0.19977204501628876,0.5292671117931604,0.47073288820683956,27,10,0.37037037037037035,4.41433565961197,0.4597433403134346,100.0,102.81294737913248,0.9797550382574675,1.3374022986583598e-05,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000110003248036581 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
1364,2048,1.166171739809215,0.0839324003085494,0.4648205146193504,0.5351794853806495,30,21,0.7,4.01716267587617,0.4841459210962057,100.0,98.46652804417431,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1521,2048,1.4439987232908607,0.24028524002060292,0.44701145514845847,0.5529885448515415,21,7,0.3333333333333333,4.03583476357162,0.552343594096601,100.0,106.84933331358832,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1612,2048,1.002691368572414,0.11078802086412906,0.5400549024343491,0.45994509756565094,22,12,0.5454545454545454,4.454205854795873,0.47023072745651007,100.0,90.92487434063236,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1643,2048,1.512643857859075,0.24235288677737116,0.5539892558008432,0.44601074419915676,21,10,0.47619047619047616,3.346713189873844,0.4412184804677963,100.0,105.2962865918775,0.9910058199223425,0.0014994237939554686,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000772678532150522 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
1692,2048,1.0712759271264076,0.0679401601664722,0.43290931247174735,0.5670906875282526,25,13,0.52,4.07248073508963,0.5682692065834999,100.0,96.45309801162091,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1756,2048,1.0920692775398493,0.12600513249635695,0.5615160495042801,0.43848395049571987,20,10,0.5,3.202373234834522,0.4362566895782948,100.0,93.2734168283157,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1787,2048,1.5785691272467375,0.2950330710969865,0.5444445554167032,0.4555554445832968,19,10,0.5263157894736842,3.696704370528459,0.4525874523445964,100.0,107.19022041860677,0.9915073767513758,0.004334069382603296,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000515330943600936 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
1878,2048,1.518451163545251,0.01986042894423008,0.4908163890242576,0.5091836109757424,24,11,0.4583333333333333,3.2341415832750497,0.5052973827347159,100.0,107.35840609847656,0.9919257100846668,0.000834693361286656,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000638984886485 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
1926,2048,1.586768456734717,0.14004509998485445,0.5854621779173612,0.4145378220826388,28,13,0.4642857142857143,3.6675424994900823,0.406447134912014,100.0,106.17479385315715,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
1957,2048,1.084880125708878,0.2716076608747244,0.5212714768946171,0.47872852310538294,28,14,0.5,4.159255257714539,0.47922311183065175,100.0,94.2062515558979,0.9999472033392723,0.00032521894560007307,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = 0.000702573592925372 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
2016,2048,1.3840679321438074,0.14294663742184638,0.57493312433362,0.42506687566638,24,13,0.5416666666666666,3.3167462294921277,0.41922624297440053,100.0,101.38387219893872,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
2110,512,1.697874953970313,0.10154634118080139,0.49825261905789375,0.5017473809421062,29,10,0.3448275862068966,3.586546025052667,0.5010510202497244,100.0,111.3948476187291,0.9978669037490353,0.00010737228128854404,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = 0.000630496471541466 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
2155,512,1.5155039355158806,0.1552126650698483,0.534747889265418,0.46525211073458195,24,13,0.5416666666666666,2.7309980942867695,0.4688381962478161,100.0,105.94168573509995,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
2164,512,1.1556247621774673,0.09149629482999444,0.5381178382784128,0.46188216172158725,30,19,0.6333333333333333,2.42896939124912,0.4086042370647192,100.0,95.94007976989457,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
2232,512,1.329294165596366,0.07462741993367672,0.5672601208090782,0.43273987919092183,29,19,0.6551724137931034,2.8610161461867394,0.42423004489392047,100.0,100.12772915381163,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
2286,512,1.6256206529214978,0.0583963586948812,0.5785946238785982,0.42140537612140183,23,8,0.34782608695652173,3.2047148865647612,0.41239974144846203,100.0,107.29328305637227,0.984926775628191,0.00020874471176788475,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000405621460673769 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
2307,512,1.7075572786852717,0.16008674120530486,0.5600797530263661,0.43992024697363385,27,8,0.2962962962962963,2.881013044528663,0.4401299187913537,100.0,109.72441885581901,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
2469,512,1.083954120054841,0.20329248514026402,0.5893409714102744,0.4106590285897256,25,12,0.48,1.89437422407791,0.40759671907871964,100.0,92.22957745327159,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
