sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,output_values_valid,composition_valid,temperature_valid,case_valid,split,lhs_index,column_error,error_message
1489.0,2048.0,1.4906554147601128,0.1934475691057741,0.6890224706381559,0.3109775293618441,19,6,0.3157894736842105,1.437446739524603,0.4912802724167704,100.0,100.94369368343212,0.9790752634843056,0.3886736958611582,1026.4776158268903,1032.1014714992991,True,True,True,True,True,True,sobol_train_val,,,
1490.0,2048.0,1.9458794249221685,0.1093498058617115,0.4581625636667013,0.5418374363332987,20,12,0.6,2.8632477591745555,0.5373801976442337,100.0,118.03789547616935,0.9688597368213304,0.0185170250903326,1458.2646023474067,1477.826905161627,True,True,True,True,True,True,sobol_train_val,,,
1491.0,2048.0,1.6552884448319674,0.2380886200815439,0.5007292415946721,0.4992707584053278,13,7,0.5384615384615384,4.374909756146371,0.4164589278399944,100.0,110.3379535917028,0.851545990592383,0.0091677348333183,2644.1354359134752,2659.5167053507857,True,True,True,True,True,True,sobol_train_val,,,
1492.0,2048.0,1.158177093602717,0.0603141007013618,0.346431378647685,0.653568621352315,26,11,0.4230769230769231,2.503933321405202,0.5610329216346145,100.0,102.06972569826844,0.7888294389535634,0.0002883092470656,1337.118627428032,1352.0523056921336,True,True,True,True,True,True,sobol_train_val,,,
1493.0,2048.0,1.0365375932306051,0.2838548228144645,0.4203969977796077,0.5796030022203922,28,13,0.4642857142857143,1.919255261030048,0.4472386924549937,100.0,95.69253666077611,0.7604532771068849,0.0001063779170168,1417.0524953571633,1430.6394408364952,True,True,True,True,True,True,sobol_train_val,,,
1494.0,2048.0,1.526919816620648,0.0121838101185858,0.6262570299208163,0.3737429700791836,11,6,0.5454545454545454,3.3224910791963334,0.5808385223150253,100.0,103.56158695289496,0.9924808518104314,0.3619722001758007,1493.481621840952,1499.9660095719432,True,True,True,True,True,True,sobol_train_val,,,
1495.0,2048.0,1.824248027056456,0.1828173075802624,0.383617103844881,0.616382896155119,25,17,0.68,3.931792391929776,0.4731959156692028,100.0,117.96311085481368,0.7256766984372233,0.002791053872621,2220.900842235848,2233.7699449227885,True,True,True,True,True,True,sobol_train_val,,,
1496.0,2048.0,1.362294896505773,0.117616019770503,0.562914853543043,0.4370851464569569,15,5,0.3333333333333333,2.031805271096528,0.5052698140963912,100.0,101.15041578307024,0.9701756549531498,0.1641505948517895,1250.410907260879,1262.7344434062056,True,True,True,True,True,True,sobol_train_val,,,
1497.0,2048.0,1.265136368572712,0.25170808872208,0.3520891837775707,0.6479108162224293,10,6,0.6,2.645267464499921,0.4366249024868012,100.0,105.0868604560942,0.6059337378862032,0.0245550634523259,1822.6889251124303,1831.3032979419136,True,True,True,True,True,True,sobol_train_val,,,
1498.0,2048.0,1.7983595533296466,0.0545970590785145,0.5946678407490253,0.4053321592509746,30,9,0.3,4.131948620080948,0.5921363113448024,100.0,110.7054798303871,0.9990632682731782,0.3161312717390765,1705.7006131524308,1713.6239877806142,True,True,True,True,True,True,sobol_train_val,,,
1499.0,2048.0,1.5996793527156117,0.2167350059375166,0.4403824128210544,0.5596175871789455,16,7,0.4375,3.1109545511193573,0.4618370687589049,100.0,110.94479345662388,0.8159087925207107,0.0027960452956299,1880.334925776472,1895.610534055572,True,True,True,True,True,True,sobol_train_val,,,
1500.0,2048.0,1.0868248054757714,0.0758007335476577,0.6063990257680416,0.3936009742319584,23,12,0.5217391304347826,1.2944133577868342,0.5157493971288204,100.0,91.8497781647801,0.9900437979889962,0.2461853975621568,933.5691565939044,943.1680169674868,True,True,True,True,True,True,sobol_train_val,,,
1501.0,2048.0,1.2153155114501717,0.1521982127800583,0.5322441976517438,0.4677558023482562,21,12,0.5714285714285714,2.3052876088768244,0.4798848509788513,100.0,97.90848557324,0.9985552574673652,0.0268141687033173,1433.4682640193014,1452.6363352597375,True,True,True,True,True,True,sobol_train_val,,,
1502.0,2048.0,1.721196790225804,0.1426604158245027,0.3146654155105352,0.6853345844894647,18,8,0.4444444444444444,3.762958287354558,0.5478963552042841,100.0,118.09404604540669,0.6943714148792901,0.0013466085271881,1855.728432123586,1867.9805130327009,True,True,True,True,True,True,sobol_train_val,,,
1503.0,2048.0,1.9268421493470669,0.281067759823054,0.6690240915864706,0.3309759084135294,25,10,0.4,3.4896003747358915,0.4058817123994231,100.0,111.26696059832692,0.9995077114293106,0.185274722278585,2163.713951878784,2175.3803884868776,True,True,True,True,True,True,sobol_train_val,,,
1504.0,2048.0,1.3866457035765052,0.0275602368637919,0.4780075918883085,0.5219924081116916,15,10,0.6666666666666666,1.650493795517832,0.5722941361367703,100.0,104.35997773491351,0.93162819078248,0.1389927916895926,951.4856463109612,963.9613775719112,True,True,True,True,True,True,sobol_train_val,,,
1505.0,2048.0,1.3925198055803776,0.1651594620198011,0.331453925743699,0.668546074256301,15,7,0.4666666666666667,1.244659124035388,0.4131652222946286,100.0,109.3598541897398,0.5602574444589553,0.0064757054180193,1168.8601204904048,1176.8612971002972,True,True,True,True,True,True,sobol_train_val,,,
1506.0,2048.0,1.9209383195266128,0.1367578064091503,0.5154373873025179,0.4845626126974821,25,14,0.56,3.057583784870803,0.5592528890818358,100.0,115.69429812290474,0.9997725693378242,0.1337360135043463,1450.9054259369552,1465.6219689674358,True,True,True,True,True,True,sobol_train_val,,,
1507.0,2048.0,1.7427865099161863,0.2658309110440314,0.4698204714804888,0.5301795285195112,12,8,0.6666666666666666,4.182097037415951,0.4883728045970201,100.0,113.3083453076788,0.8819731661795255,0.0380440832637261,2215.904588615319,2231.608010142604,True,True,True,True,True,True,sobol_train_val,,,
1508.0,2048.0,1.1937552215531468,0.0311060115694999,0.6772417400032281,0.3227582599967719,28,10,0.3571428571428571,2.698244047164917,0.5328614035621285,100.0,93.23272595206402,0.9994664569984836,0.3947603825791454,1441.6105041285982,1447.311448837154,True,True,True,True,True,True,sobol_train_val,,,
1509.0,2048.0,1.0653875712305307,0.2575466928072273,0.5528671339154243,0.4471328660845757,27,9,0.3333333333333333,1.700648304261267,0.4691175268962979,100.0,92.65707974170414,0.9915518565898666,0.0564397288051729,1205.5065611746136,1222.684785655907,True,True,True,True,True,True,sobol_train_val,,,
1510.0,2048.0,1.6211479837074876,0.0417182687669992,0.3938837975263595,0.6061162024736404,14,9,0.6428571428571429,3.542570865992457,0.5027050983160735,100.0,112.99700812675508,0.7725592870603921,0.0192842717734657,1931.809995632829,1945.3805990092983,True,True,True,True,True,True,sobol_train_val,,,
1511.0,2048.0,1.792576864361763,0.2132717080414295,0.6396227777004242,0.3603772222995758,21,11,0.5238095238095238,3.7132105384022,0.4451159078627825,100.0,109.28366673857238,0.9997507864936436,0.1906846376749269,2131.3215034024684,2143.158079627788,True,True,True,True,True,True,sobol_train_val,,,
1512.0,2048.0,1.2708874819800258,0.090973559115082,0.4072013959288597,0.5927986040711404,20,8,0.4,2.2519103578291837,0.5771044114604592,100.0,103.409450084016,0.9505662153434824,0.0090172221158308,1155.48697868849,1174.6857017597567,True,True,True,True,True,True,sobol_train_val,,,
1513.0,2048.0,1.3524208255112171,0.2990781454369425,0.6211811766028403,0.3788188233971596,15,9,0.6,2.450556162558496,0.4585403125733137,100.0,99.22549237074048,0.9972945006547952,0.1770471347617928,1549.2356517313913,1561.375253609514,True,True,True,True,True,True,sobol_train_val,,,
1514.0,2048.0,1.8340902840718627,0.0086886118166148,0.4254789650440216,0.5745210349559784,26,12,0.4615384615384615,4.325161914993077,0.5139663117006421,100.0,116.76136702855592,0.8752482164841944,0.0001518884322225,2158.779024093993,2176.3722029124674,True,True,True,True,True,True,sobol_train_val,,,
1515.0,2048.0,1.5015132706612349,0.1699887282215058,0.5828146308660507,0.4171853691339493,19,7,0.3684210526315789,2.916218145936728,0.4337204882875085,100.0,104.17478538204271,0.995047673499078,0.044581422442331,1828.81994247682,1846.527430606904,True,True,True,True,True,True,sobol_train_val,,,
1516.0,2048.0,1.0619752975180743,0.1234224373474717,0.3636746123433113,0.6363253876566888,22,15,0.6818181818181818,1.4876013527624308,0.5876205671578645,100.0,98.3943568862058,0.8095727129740903,0.0507543768436812,892.7539678239954,905.7446243964422,True,True,True,True,True,True,sobol_train_val,,,
1517.0,2048.0,1.1834917459636929,0.1970069336704909,0.4882506344467401,0.5117493655532599,23,14,0.6086956521739131,2.0847821549512444,0.4018063765019178,100.0,98.27476567433382,0.8143598413248825,0.0027710956122048,1595.696263252868,1609.9893429714114,True,True,True,True,True,True,sobol_train_val,,,
1518.0,2048.0,1.6300029838457704,0.09404414948076,0.6589527208358049,0.3410472791641951,17,5,0.2941176470588235,3.9819405080750574,0.5697324709966779,100.0,105.10535596990128,0.9922272707391482,0.4072605734671944,1760.126133469549,1765.588625800796,True,True,True,True,True,True,sobol_train_val,,,
1519.0,2048.0,1.955600529909134,0.2321998866274952,0.3014949906617403,0.6985050093382597,30,13,0.4333333333333333,3.269120024051517,0.4777590164914727,100.0,123.6676206233609,0.5772882489740653,2.416384943828864e-05,1933.1470929565933,1942.1516269257093,True,True,True,True,True,True,sobol_train_val,,,
1520.0,2048.0,1.4809043435379865,0.0732068284414708,0.5456351224333047,0.4543648775666953,10,5,0.5,1.8695013161748648,0.5441591907292604,100.0,104.74993845724048,0.9450157285258582,0.2110752863500239,1090.83367404751,1100.968717348364,True,True,True,True,True,True,sobol_train_val,,,
1522.0,2048.0,1.9925436340272429,0.0625101478770375,0.6059963442385197,0.3940036557614803,19,13,0.6842105263157895,2.135448062326759,0.4202696390450001,100.0,114.40142199933187,0.9929019689834492,0.0723035049491151,1473.3146875467107,1489.7027079691477,True,True,True,True,True,True,sobol_train_val,,,
1523.0,2048.0,1.671669621951878,0.1912495141848921,0.3603046603500843,0.6396953396499157,27,15,0.5555555555555556,2.023272480256855,0.5275147452950477,100.0,115.33599258379088,0.7594710161125585,0.0027804657664502,1221.7125288478435,1235.7560108307798,True,True,True,True,True,True,sobol_train_val,,,
1524.0,2048.0,1.141788175329566,0.1071511792950332,0.5927275530993938,0.4072724469006061,13,6,0.4615384615384615,3.4261085213162,0.4939149660989642,100.0,93.9556665284831,0.9946176821899592,0.1809343008121759,1875.520823230948,1887.526797335721,True,True,True,True,True,True,sobol_train_val,,,
